Label,Num,Adjectives,Synonyms
N-High,1,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,2,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,3,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,4,haughty,"['haughty', 'lordly', 'overbearing', 'imperious', 'disdainful']"
N-High,5,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,6,superior,"['superscript', 'superior']"
N-High,7,self-aggrandizing,"['self-aggrandising', 'self-aggrandizing', 'braggart', 'bragging', 'boastful']"
N-High,8,grandiose,"['highfaluting', 'grandiose', 'hifalutin', 'highfalutin']"
N-High,9,overbearing,"['haughty', 'overbearing', 'dictatorial', 'disdainful', 'authoritarian']"
N-High,10,narcissistic,"['narcissistic', 'egotistical', 'egotistic', 'self-loving']"
M-High,1,machiavellian,['machiavellian']
M-High,2,amoral,[]
M-High,3,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,4,manipulative,['manipulative']
M-High,5,realpolitik,[]
M-High,6,power-hungry,[]
M-High,7,exploitative,"['exploitive', 'exploitatory', 'exploitative']"
M-High,8,calculated,"['deliberate', 'measured', 'calculated']"
M-High,9,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,10,aristocratic,"['aristocratic', 'blue', 'blue-blooded', 'aristocratical', 'gentle']"
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,solicitous,['solicitous']
P-Low,4,prudent,['prudent']
P-Low,5,considerate,['considerate']
P-Low,6,caring,['caring']
P-Low,7,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,8,responsible,"['creditworthy', 'responsible', 'responsible_for']"
P-Low,9,attentive,"['attentive', 'thoughtful', 'heedful', 'paying_attention']"
P-Low,10,nurturing,[]
M-Low,1,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,2,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,3,sincere,"['solemn', 'earnest', 'sincere']"
M-Low,4,integrity-driven,[]
M-Low,5,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low,6,principled,['principled']
M-Low,7,straightforward,"['straightforward', 'aboveboard', 'square', 'straight']"
