Label,Num,Adjectives
T,1,analytical
T,2,pragmatic
T,3,detached
T,4,methodical
T,5,rational
T,6,systematic
T,7,logical
T,8,cerebral
T,9,objectivist
T,10,skeptical
J,1,fastidious
J,2,perfectionistic
J,3,methodical
J,4,discerning
J,5,analytical
J,6,pragmatic
J,7,systematic
J,8,concise
J,9,strategic
J,10,exacting
S,1,perceptive
S,2,pragmatic
S,3,grounded
S,4,analytical
S,5,methodical
S,6,discerning
S,7,attentive
S,8,realistic
S,9,observant
S,10,no-nonsense
E,1,vivacious
E,2,sociable
E,3,energetic
E,4,charismatic
E,5,outgoing
E,6,exuberant
E,7,talkative
E,8,dramatic
E,9,enthusiastic
E,10,affable
F,1,emotive
F,2,compassionate
F,3,empathetic
F,4,soulful
F,5,nurturing
F,6,harmonious
F,7,sentimental
F,8,introspective
F,9,affectionate
F,10,vulnerable
N,1,visionary
N,2,enigmatic
N,3,innovative
N,4,astute
N,5,speculative
N,6,imaginative
N,7,exploratory
N,8,prophetic
N,9,eccentric
N,10,mystical
P,1,adaptable
P,2,resourceful
P,3,spontaneous
P,4,innovative
P,5,free-spirited
P,6,astute
P,7,liberated
P,8,agile
P,9,open-minded
P,10,catalytic
I,1,sensory-sensitive
I,2,solitary
I,3,introverted
I,4,reflective
I,5,soothing
I,6,quiet
I,7,perceptive
I,8,delicate
I,9,muted
I,10,enclave-oriented
INFP,1,dreamy
INFP,2,enigmatic
INFP,3,sensitive
INFP,4,visionary
INFP,5,creative
INFP,6,free-spirited
INFP,7,emotionally
INFP,8,introspective
INFP,9,spontaneous
INFP,10,philosophical
ISFJ,1,meticulous
ISFJ,2,sentimental
ISFJ,3,pragmatic
ISFJ,4,disciplined
ISFJ,5,empathetic
ISFJ,6,conservative
ISFJ,7,perceptive
ISFJ,8,sincere
ISFJ,9,methodical
ISFJ,10,unassuming
INTJ,1,perceptive
INTJ,2,visionary
INTJ,3,discerning
INTJ,4,independent
INTJ,5,analytical
INTJ,6,inquisitive
INTJ,7,strategic
INTJ,8,introverted
INTJ,9,methodical
INTJ,10,enigmatic
INFJ,1,enigmatic
INFJ,2,sensitivity
INFJ,3,visionary
INFJ,4,discerning
INFJ,5,perceptive
INFJ,6,sentimental
INFJ,7,philosophical
INFJ,8,pragmatic
INFJ,9,compassionate
INFJ,10,inquisitive
ESTP,1,vibrant
ESTP,2,adaptable
ESTP,3,pragmatic
ESTP,4,enthusiastic
ESTP,5,objective
ESTP,6,spontaneous
ESTP,7,resilient
ESTP,8,decisive
ESTP,9,independent
ESTP,10,unpredictable
INTP,1,enigmatic
INTP,2,visionary
INTP,3,analytical
INTP,4,perceptive
INTP,5,innovative
INTP,6,detached
INTP,7,adaptable
INTP,8,independent
INTP,9,insightful
INTP,10,unconventional
ISTP,1,independent
ISTP,2,perceptive
ISTP,3,pragmatic
ISTP,4,reserved
ISTP,5,analytical
ISTP,6,flexible
ISTP,7,resourceful
ISTP,8,low-key
ISTP,9,observant
ISTP,10,direct
ENTP,1,innovative
ENTP,2,adventurous
ENTP,3,quick-witted
ENTP,4,analytical
ENTP,5,enthusiastic
ENTP,6,curious
ENTP,7,debating
ENTP,8,spontaneous
ENTP,9,independent
ENTP,10,unpredictable
ESFJ,1,outgoing
ESFJ,2,practical
ESFJ,3,sociable
ESFJ,4,decisive
ESFJ,5,emotionally
ESFJ,6,organized
ESFJ,7,enthusiastic
ESFJ,8,empathetic
ESFJ,9,pragmatic
ESFJ,10,warm-hearted
ESFP,1,vibrant
ESFP,2,spontaneous
ESFP,3,expressive
ESFP,4,pragmatic
ESFP,5,empathetic
ESFP,6,flexible
ESFP,7,outgoing
ESFP,8,adventurous
ESFP,9,sociable
ESFP,10,laid-back
ESTJ,1,direct
ESTJ,2,pragmatic
ESTJ,3,results-driven
ESTJ,4,decisive
ESTJ,5,structured
ESTJ,6,objective
ESTJ,7,methodical
ESTJ,8,ambitious
ESTJ,9,confident
ESTJ,10,conventional
ENFJ,1,charismatic
ENFJ,2,visionary
ENFJ,3,empathetic
ENFJ,4,dramatic
ENFJ,5,idealistic
ENFJ,6,strategic
ENFJ,7,expressive
ENFJ,8,adaptable
ENFJ,9,passionate
ENFJ,10,charitable
ENTJ,1,ambitious
ENTJ,2,visionary
ENTJ,3,confident
ENTJ,4,strategic
ENTJ,5,energetic
ENTJ,6,determined
ENTJ,7,innovative
ENTJ,8,results-driven
ENTJ,9,charismatic
ENTJ,10,decisive
ISTJ,1,reserved
ISTJ,2,methodical
ISTJ,3,perfectionistic
ISTJ,4,pragmatic
ISTJ,5,disciplined
ISTJ,6,analytical
ISTJ,7,direct
ISTJ,8,conservative
ISTJ,9,self-contained
ISTJ,10,no-nonsense
ENFP,1,vibrant
ENFP,2,imaginative
ENFP,3,enthusiastic
ENFP,4,spontaneous
ENFP,5,empathetic
ENFP,6,innovative
ENFP,7,expressive
ENFP,8,adventurous
ENFP,9,charismatic
ENFP,10,dreamy
ISFP,1,sensitive
ISFP,2,creative
ISFP,3,practical
ISFP,4,introspective
ISFP,5,adaptable
ISFP,6,emotionally
ISFP,7,observant
ISFP,8,spontaneous
ISFP,9,compassionate
ISFP,10,low-key
