Label,Num,Adjectives,Synonyms
O-High,1,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
O-High,2,visionary,"['laputan', 'impractical', 'windy', 'visionary', 'airy']"
O-High,3,eccentric,"['flaky', 'freaky', 'freakish', 'eccentric', 'bizarre']"
O-High,4,artistic,"['esthetic', 'artistic', 'aesthetic']"
O-High,5,intellectual,"['noetic', 'rational', 'intellectual', 'cerebral']"
O-High,6,free-thinking,"['latitudinarian', 'free-thinking', 'undogmatical', 'undogmatic']"
O-High,7,enthusiastic,['enthusiastic']
O-High,8,adventurous,"['adventurous', 'adventuresome']"
O-High,9,skeptical,"['unbelieving', 'doubting', 'disbelieving', 'sceptical', 'skeptical']"
O-High,10,dreamer,[]
O-Low,1,conventional,"['established', 'conventional']"
O-Low,2,traditionalist,"['hidebound', 'traditionalist']"
O-Low,3,conservative,"['button-down', 'conservative', 'cautious']"
O-Low,4,predictable,['predictable']
O-Low,5,respectful,"['respectful', 'reverential', 'venerating']"
O-Low,6,sensible,"['sensible', 'reasonable', 'sensitive']"
O-Low,7,conformist,"['conforming', 'conformist']"
O-Low,8,staid,"['staid', 'sedate']"
O-Low,9,established,"['effected', 'accomplished', 'established', 'constituted']"
O-Low,10,unadventurous,['unadventurous']
C-High,1,meticulous,"['meticulous', 'punctilious']"
C-High,2,disciplined,['disciplined']
C-High,3,methodical,['methodical']
C-High,4,diligent,"['persevering', 'diligent']"
C-High,5,strategic,"['strategic', 'strategical']"
C-High,6,focused,"['focused', 'focussed']"
C-High,7,results-driven,[]
C-High,8,pragmatic,"['pragmatic', 'matter-of-fact', 'pragmatical']"
C-High,9,committed,"['committed', 'attached']"
C-High,10,proactive,['proactive']
N-Low,1,phlegmatic,"['phlegmatical', 'phlegmatic']"
N-Low,2,composed,['composed']
N-Low,3,serenene,[]
N-Low,4,equanimous,"['poised', 'equanimous', 'collected', 'self-collected', 'self-contained']"
N-Low,5,laid-back,"['mellow', 'laid-back']"
N-Low,6,calmative,[]
N-Low,7,philosophical,"['philosophic', 'philosophical']"
N-Low,8,mellow,"['mellow', 'mellowed', 'laid-back']"
N-Low,9,steadfast,"['steady', 'steadfast', 'firm', 'unbendable', 'stiff']"
N-Low,10,calm-hearted,[]
E-High,1,exuberant,"['excessive', 'ebullient', 'extravagant', 'high-spirited', 'exuberant']"
E-High,2,vivacious,"['vivacious', 'vibrant']"
E-High,3,charismatic,"['magnetic', 'charismatic']"
E-High,4,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High,5,dynamic,"['dynamic', 'dynamical', 'active']"
E-High,6,sociable,['sociable']
E-High,7,talkative,"['chatty', 'loquacious', 'talkative', 'garrulous', 'gabby']"
E-High,8,energetic,"['energetic', 'industrious', 'up-and-coming', 'gumptious']"
E-High,9,confident,"['convinced', 'positive', 'confident']"
E-High,10,adventurous,"['adventurous', 'adventuresome']"
A-High,1,affable,"['cordial', 'amiable', 'genial', 'affable']"
A-High,2,compassionate,['compassionate']
A-High,3,empathetic,"['empathic', 'empathetic']"
A-High,4,gentle,"['soft', 'aristocratic', 'gentle']"
A-High,5,nurturing,[]
A-High,6,sincere,"['earnest', 'sincere', 'solemn']"
A-High,7,supportive,['supportive']
A-High,8,tolerant,"['kind', 'broad', 'large-minded', 'tolerant']"
A-High,9,warm-hearted,[]
A-High,10,unifying,"['unifying', 'consolidative', 'centripetal']"
C-Low,1,spontaneous,"['spontaneous', 'ad-lib', 'self-generated', 'unwritten']"
C-Low,2,impetuous,"['madcap', 'tearaway', 'impetuous', 'impulsive', 'hotheaded']"
C-Low,3,disorganized,"['disorganized', 'disorganised']"
C-Low,4,distractible,[]
C-Low,5,emotionally,[]
C-Low,6,unpredictable,"['irregular', 'unpredictable']"
C-Low,7,scattered,"['disconnected', 'disjointed', 'disordered', 'confused', 'scattered']"
C-Low,8,indecisive,['indecisive']
C-Low,9,restless,"['ungratified', 'unsatisfied', 'restless']"
C-Low,10,perpetually,[]
E-Low,1,reticent,"['untalkative', 'unemotional', 'reticent', 'restrained']"
E-Low,2,introverted,"['introspective', 'self-examining', 'introverted']"
E-Low,3,reserved,['reserved']
E-Low,4,cautious,"['conservative', 'cautious']"
E-Low,5,shy,"['unsure', 'diffident', 'shy', 'timid']"
E-Low,6,withdrawn,"['indrawn', 'recluse', 'withdrawn', 'reclusive']"
E-Low,7,low-key,"['low-key', 'low-keyed', 'subdued']"
E-Low,8,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-Low,9,timid,"['unsure', 'diffident', 'shy', 'timid']"
E-Low,10,enigmatic,"['oracular', 'enigmatical', 'puzzling', 'enigmatic']"
N-High,1,volatile,"['explosive', 'volatile', 'fickle']"
N-High,2,hyper-sensitive,[]
N-High,3,introspective,"['introspective', 'self-examining', 'introverted']"
N-High,4,mood-prone,[]
N-High,5,emotionally,[]
N-High,6,anxious,"['dying', 'queasy', 'nervous', 'anxious']"
N-High,7,easily,[]
N-High,8,self-destructive,"['suicidal', 'self-destructive']"
N-High,9,overwhelmed,[]
N-High,10,dysregulated,[]
A-Low,1,confrontational,['confrontational']
A-Low,2,perfidious,"['treacherous', 'punic', 'perfidious']"
A-Low,3,intractable,['intractable']
A-Low,4,cynical,"['cynical', 'misanthropic', 'misanthropical']"
A-Low,5,pugnacious,"['pugnacious', 'rough', 'hard-bitten', 'hard-boiled']"
A-Low,6,rigorous,"['tight', 'rigorous', 'stringent', 'strict']"
A-Low,7,blunt,"['blunt', 'forthright', 'candid']"
A-Low,8,maverick,"['irregular', 'unorthodox', 'maverick']"
A-Low,9,uncompromising,"['inflexible', 'sturdy', 'uncompromising']"
A-Low,10,scathing,"['scathing', 'vituperative']"
E-High-N-Low-A-High-C-Low-O-Low,1,vivacious,"['vivacious', 'vibrant']"
E-High-N-Low-A-High-C-Low-O-Low,2,sociable,['sociable']
E-High-N-Low-A-High-C-Low-O-Low,3,enthusiastic,['enthusiastic']
E-High-N-Low-A-High-C-Low-O-Low,4,warm-hearted,[]
E-High-N-Low-A-High-C-Low-O-Low,5,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High-N-Low-A-High-C-Low-O-Low,6,assertive,"['self-assertive', 'assertive', 'self-asserting']"
E-High-N-Low-A-High-C-Low-O-Low,7,even-tempered,"['good-tempered', 'placid', 'equable', 'even-tempered']"
E-High-N-Low-A-High-C-Low-O-Low,8,cooperative,"['cooperative', 'conjunct', 'concerted', 'conjunctive']"
E-High-N-Low-A-High-C-Low-O-Low,9,traditional,['traditional']
E-High-N-Low-A-High-C-Low-O-Low,10,charismatic,"['magnetic', 'charismatic']"
E-High-N-High-A-High-C-Low-O-High,1,vivacious,"['vivacious', 'vibrant']"
E-High-N-High-A-High-C-Low-O-High,2,dramatic,"['dramatic', 'spectacular', 'striking']"
E-High-N-High-A-High-C-Low-O-High,3,sociable,['sociable']
E-High-N-High-A-High-C-Low-O-High,4,impulsive,"['unprompted', 'driving', 'impulsive']"
E-High-N-High-A-High-C-Low-O-High,5,eccentric,"['flaky', 'freaky', 'freakish', 'eccentric', 'bizarre']"
E-High-N-High-A-High-C-Low-O-High,6,passionate,['passionate']
E-High-N-High-A-High-C-Low-O-High,7,unpredictable,"['irregular', 'unpredictable']"
E-High-N-High-A-High-C-Low-O-High,8,creative,"['originative', 'creative']"
E-High-N-High-A-High-C-Low-O-High,9,emotionally,[]
E-High-N-High-A-High-C-Low-O-High,10,restless,"['ungratified', 'unsatisfied', 'restless']"
E-Low-N-Low-A-Low-C-High-O-High,1,reserved,['reserved']
E-Low-N-Low-A-Low-C-High-O-High,2,disciplined,['disciplined']
E-Low-N-Low-A-Low-C-High-O-High,3,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-Low-N-Low-A-Low-C-High-O-High,4,efficient,"['efficient', 'effective']"
E-Low-N-Low-A-Low-C-High-O-High,5,cautious,"['conservative', 'cautious']"
E-Low-N-Low-A-Low-C-High-O-High,6,creative,"['originative', 'creative']"
E-Low-N-Low-A-Low-C-High-O-High,7,perceptive,['perceptive']
E-Low-N-Low-A-Low-C-High-O-High,8,independent,"['sovereign', 'independent', 'autonomous', 'self-governing']"
E-Low-N-Low-A-Low-C-High-O-High,9,methodical,['methodical']
E-Low-N-Low-A-Low-C-High-O-High,10,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
E-High-N-High-A-High-C-High-O-High,1,vivacious,"['vivacious', 'vibrant']"
E-High-N-High-A-High-C-High-O-High,2,passionate,['passionate']
E-High-N-High-A-High-C-High-O-High,3,daring,"['venturesome', 'audacious', 'avant-garde', 'daring', 'venturous']"
E-High-N-High-A-High-C-High-O-High,4,compassionate,['compassionate']
E-High-N-High-A-High-C-High-O-High,5,perceptive,['perceptive']
E-High-N-High-A-High-C-High-O-High,6,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High-N-High-A-High-C-High-O-High,7,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-High-N-High-A-High-C-High-O-High,8,resourceful,['resourceful']
E-High-N-High-A-High-C-High-O-High,9,innovative,"['forward-looking', 'modern', 'advanced', 'innovative']"
E-High-N-High-A-High-C-High-O-High,10,vulnerable,['vulnerable']
E-Low-N-Low-A-High-C-High-O-Low,1,reserved,['reserved']
E-Low-N-Low-A-High-C-High-O-Low,2,calm,"['calm', 'serene', 'tranquil', 'unagitated']"
E-Low-N-Low-A-High-C-High-O-Low,3,wise,"['knowing', 'judicious', 'wise', 'heady']"
E-Low-N-Low-A-High-C-High-O-Low,4,kind-hearted,"['kind-hearted', 'kindhearted']"
E-Low-N-Low-A-High-C-High-O-Low,5,loyal,"['loyal', 'firm', 'patriotic']"
E-Low-N-Low-A-High-C-High-O-Low,6,disciplined,['disciplined']
E-Low-N-Low-A-High-C-High-O-Low,7,traditional,['traditional']
E-Low-N-Low-A-High-C-High-O-Low,8,compassionate,['compassionate']
