Label,Num,Adjectives,Synonyms
T,1,analytical,"['analytic', 'analytical']"
T,2,methodical,['methodical']
T,3,pragmatic,"['matter-of-fact', 'pragmatical', 'pragmatic']"
T,4,cerebral,"['intellectual', 'cerebral']"
T,5,detached,"['uninvolved', 'degage', 'isolated', 'detached']"
T,6,calculating,"['calculating', 'shrewd', 'calculative', 'conniving', 'scheming']"
T,7,efficient,"['effective', 'efficient']"
T,8,logical,"['consistent', 'coherent', 'logical', 'legitimate']"
T,9,unemotional,"['unemotional', 'restrained', 'reticent']"
T,10,strategic,"['strategical', 'strategic']"
J,1,fastidious,"['exacting', 'fastidious']"
J,2,methodical,['methodical']
J,3,discerning,"['discerning', 'discreet', 'apprehensive']"
J,4,analytical,"['analytic', 'analytical']"
J,5,perfectionistic,[]
J,6,systematic,"['taxonomic', 'systematic', 'taxonomical']"
J,7,pragmatic,"['matter-of-fact', 'pragmatical', 'pragmatic']"
J,8,rigorous,"['tight', 'rigorous', 'stringent', 'strict']"
J,9,concise,['concise']
J,10,punctual,['punctual']
S,1,perceptive,['perceptive']
S,2,pragmatic,"['matter-of-fact', 'pragmatical', 'pragmatic']"
S,3,grounded,[]
S,4,discerning,"['discerning', 'discreet', 'apprehensive']"
S,5,methodical,['methodical']
S,6,analytical,"['analytic', 'analytical']"
S,7,observant,"['observing', 'observant', 'law-abiding']"
S,8,practical-minded,[]
S,9,detailed-oriented,[]
S,10,realistic,"['naturalistic', 'realistic']"
E,1,vivacious,"['vibrant', 'vivacious']"
E,2,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E,3,energetic,"['up-and-coming', 'energetic', 'industrious', 'gumptious']"
E,4,charismatic,"['magnetic', 'charismatic']"
E,5,exuberant,"['ebullient', 'high-spirited', 'exuberant', 'extravagant', 'excessive']"
E,6,social,"['social', 'societal']"
E,7,vibrant,"['vibrant', 'vivacious']"
E,8,dramatic,"['striking', 'dramatic', 'spectacular']"
E,9,boisterous,"['robustious', 'rambunctious', 'rumbustious', 'boisterous', 'unruly']"
E,10,radiant,"['beaming', 'effulgent', 'refulgent', 'radiant', 'beamy']"
F,1,empathetic,"['empathetic', 'empathic']"
F,2,soulful,['soulful']
F,3,introspective,"['introspective', 'introverted', 'self-examining']"
F,4,compassionate,['compassionate']
F,5,authentic,"['unquestionable', 'authentic', 'reliable', 'bona_fide']"
F,6,emotionally,[]
F,7,vulnerable,['vulnerable']
F,8,nurturing,[]
F,9,reflective,"['broody', 'brooding', 'meditative', 'contemplative', 'musing']"
F,10,heartfelt,"['devout', 'earnest', 'dear', 'heartfelt']"
N,1,visionary,"['impractical', 'airy', 'windy', 'laputan', 'visionary']"
N,2,enigmatic,"['oracular', 'enigmatical', 'enigmatic', 'puzzling']"
N,3,innovative,"['modern', 'forward-looking', 'innovative', 'advanced']"
N,4,dreamy,"['moony', 'woolgathering', 'dreamy', 'lackadaisical']"
N,5,astute,"['astute', 'sharp', 'shrewd']"
N,6,speculative,"['high-risk', 'risky', 'bad', 'notional', 'speculative']"
N,7,ethereal,"['aerial', 'aeriform', 'airy', 'aery', 'ethereal']"
N,8,prophetic,"['prophetical', 'prophetic']"
N,9,sagacious,"['sagacious', 'perspicacious', 'sapient']"
N,10,eclectic,['eclectic']
P,1,adaptable,['adaptable']
P,2,spontaneous,"['ad-lib', 'spontaneous', 'self-generated', 'unwritten']"
P,3,visionary,"['impractical', 'airy', 'windy', 'laputan', 'visionary']"
P,4,resilient,"['bouncy', 'lively', 'resilient', 'live']"
P,5,free-spirited,[]
P,6,perceptive,['perceptive']
P,7,innovative,"['modern', 'forward-looking', 'innovative', 'advanced']"
P,8,flexible,"['flexile', 'elastic', 'flexible']"
P,9,unconventional,"['improper', 'unconventional', 'unlawful']"
P,10,pragmatic,"['matter-of-fact', 'pragmatical', 'pragmatic']"
I,1,reflective,"['broody', 'brooding', 'meditative', 'contemplative', 'musing']"
I,2,sensory-sensitive,[]
I,3,discerning,"['discerning', 'discreet', 'apprehensive']"
I,4,reserved,['reserved']
I,5,introspective,"['introspective', 'introverted', 'self-examining']"
I,6,perceptive,['perceptive']
I,7,contemplative,"['broody', 'brooding', 'meditative', 'contemplative', 'musing']"
I,8,private,"['individual', 'private', 'secret']"
I,9,sensitive,"['sensitive', 'sensible']"
I,10,solitary,"['nonsocial', 'lone', 'lonely', 'solitary', 'nongregarious']"
INFP,1,enigmatic,"['oracular', 'enigmatical', 'enigmatic', 'puzzling']"
INFP,2,dreamy,"['moony', 'woolgathering', 'dreamy', 'lackadaisical']"
INFP,3,sensitive,"['sensitive', 'sensible']"
INFP,4,creative,"['originative', 'creative']"
INFP,5,eccentric,"['bizarre', 'flaky', 'eccentric', 'freakish', 'freaky']"
INFP,6,reflective,"['broody', 'brooding', 'meditative', 'contemplative', 'musing']"
INFP,7,idealistic,"['sublime', 'ideal', 'elevated', 'exalted', 'idealistic']"
INFP,8,introspective,"['introspective', 'introverted', 'self-examining']"
INFP,9,visionary,"['impractical', 'airy', 'windy', 'laputan', 'visionary']"
INFP,10,whimsical,"['whimsical', 'impulsive', 'capricious']"
ISFJ,1,reserved,['reserved']
ISFJ,2,sentimental,"['drippy', 'maudlin', 'bathetic', 'sentimental', 'hokey']"
ISFJ,3,practical,"['practical', 'hardheaded', 'pragmatic', 'hard-nosed']"
ISFJ,4,methodical,['methodical']
ISFJ,5,perceptive,['perceptive']
ISFJ,6,conservative,"['cautious', 'button-down', 'conservative']"
