EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
1,2,2,2,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,5,3,4,2,3,4,2,1,4,3,4,4,4,3,4,4,2,1,2,4,4,4,4,2,4,2.25,3.25,4.222222222222222,3.0,3.7,low,high,low,high,high
1,4,3,1,4,4,4,4,4,4,1,1,4,4,4,2,4,3,2,5,2,2,4,4,2,2,1,4,2,4,4,4,2,4,2,1,2,2,2,4,4,4,2,2,1.875,2.125,3.7777777777777777,2.888888888888889,3.5,low,low,low,low,low
1,2,4,2,4,4,3,4,2,5,1,2,4,3,4,2,4,4,2,4,3,2,2,4,4,2,4,4,2,4,3,3,3,4,2,1,2,4,2,4,4,4,4,3,1.875,2.375,3.333333333333333,3.2222222222222223,3.8,low,low,low,low,high
2,2,4,4,3,4,4,4,4,4,2,1,3,2,2,2,3,4,4,4,4,4,4,3,4,3,2,4,2,4,3,4,4,4,3,1,2,2,2,3,4,4,2,4,2.125,2.625,4.0,3.0,3.3,low,high,low,low,low
1,2,3,2,4,4,5,4,4,4,2,1,4,2,4,2,4,4,2,4,4,4,2,4,4,2,1,4,2,4,4,4,3,4,4,1,2,2,2,4,4,4,4,4,1.75,2.0,4.333333333333333,2.888888888888889,3.6,low,high,low,low,low
1,2,4,2,4,4,4,4,4,4,1,1,4,2,3,4,4,4,4,4,4,2,1,4,4,2,4,4,2,4,4,4,3,4,4,1,2,4,2,4,2,4,2,4,1.875,2.25,3.6666666666666665,3.555555555555556,3.7,low,low,low,low,high
1,3,4,2,3,3,4,3,4,4,1,2,2,4,3,4,4,4,2,3,2,4,2,4,4,2,4,4,4,4,3,4,4,4,4,1,2,4,3,4,3,4,4,3,2.375,2.625,3.6666666666666665,3.2222222222222223,3.3,low,low,low,low,low
2,2,2,4,4,4,4,4,4,5,1,1,4,4,4,2,4,4,2,3,2,2,2,4,2,2,4,4,4,5,2,4,3,4,4,1,1,2,2,4,4,4,2,4,2.25,2.75,3.7777777777777777,3.0,3.5,low,low,low,low,low
1,2,3,2,4,4,4,2,2,4,4,1,3,2,2,4,4,2,4,4,2,2,2,4,2,2,4,4,2,4,2,5,4,4,4,1,1,4,2,4,2,4,4,4,2.75,2.5,3.888888888888889,3.555555555555556,3.4,low,high,low,low,low
1,2,4,1,4,4,4,4,2,4,2,1,4,2,4,2,4,4,3,4,2,4,2,4,4,2,1,4,4,4,2,5,4,4,3,1,4,4,2,4,4,4,4,3,2.25,2.5,4.111111111111111,3.333333333333333,3.6,low,high,low,low,low
