Label,Num,Adjectives
N-High,1,sensitive
N-High,2,reactive
N-High,3,vulnerable
N-High,4,perfectionistic
N-High,5,overanalytical
N-High,6,dependent
N-High,7,isolated
N-High,8,impulsive
N-High,9,catastrophizing
N-High,10,avoidant
N-High,11,sensitive
N-High,12,reactive
N-High,13,vulnerable
N-High,14,perfectionistic
N-High,15,overanalytical
N-High,16,dependent
N-High,17,isolated
N-High,18,impulsive
N-High,19,catastrophizing
N-High,20,avoidant
A-Low,1,determined
A-Low,2,critical
A-Low,3,assertive
A-Low,4,punctual
A-Low,5,inquisitive
A-Low,6,diligent
A-Low,7,analytical
A-Low,8,independent
A-Low,9,energetic
A-Low,10,persistent
A-Low,11,determined
A-Low,12,critical
A-Low,13,assertive
A-Low,14,punctual
A-Low,15,inquisitive
A-Low,16,diligent
A-Low,17,analytical
A-Low,18,independent
A-Low,19,energetic
A-Low,20,persistent
C-High,1,consistent
C-High,2,dedicated
C-High,3,driven
C-High,4,efficient
C-High,5,foresighted
C-High,6,goal-oriented
C-High,7,humble
C-High,8,innovative
C-High,9,organized
C-High,10,persistent
C-High,11,consistent
C-High,12,dedicated
C-High,13,driven
C-High,14,efficient
C-High,15,foresighted
C-High,16,goal-oriented
C-High,17,humble
C-High,18,innovative
C-High,19,organized
C-High,20,persistent
O-Low,1,steadfast
O-Low,2,consistent
O-Low,3,traditionalist
O-Low,4,pragmatic
O-Low,5,reliable
O-Low,6,resolute
O-Low,7,savvy
O-Low,8,methodical
O-Low,9,familiarity-seeking
O-Low,10,cautious
O-Low,11,steadfast
O-Low,12,consistent
O-Low,13,traditionalist
O-Low,14,pragmatic
O-Low,15,reliable
O-Low,16,resolute
O-Low,17,savvy
O-Low,18,methodical
O-Low,19,familiarity-seeking
O-Low,20,cautious
A-High,1,compassionate
A-High,2,generous
A-High,3,hospitable
A-High,4,sympathetic
A-High,5,attentive
A-High,6,sensitive
A-High,7,diplomatic
A-High,8,supportive
A-High,9,welcoming
A-High,10,friendly
A-High,11,compassionate
A-High,12,generous
A-High,13,hospitable
A-High,14,sympathetic
A-High,15,attentive
A-High,16,sensitive
A-High,17,diplomatic
A-High,18,supportive
A-High,19,welcoming
A-High,20,friendly
N-Low,1,stoic
N-Low,2,composed
N-Low,3,serene
N-Low,4,balanced
N-Low,5,serenely
N-Low,6,resiliently
N-Low,7,determined
N-Low,8,relaxed
N-Low,9,equanimous
N-Low,10,peaceful
N-Low,11,stoic
N-Low,12,composed
N-Low,13,serene
N-Low,14,balanced
N-Low,15,serenely
N-Low,16,resiliently
N-Low,17,determined
N-Low,18,relaxed
N-Low,19,equanimous
N-Low,20,peaceful
O-High,1,visionary
O-High,2,curious
O-High,3,adventurous
O-High,4,creative
O-High,5,open-minded
O-High,6,intellectual
O-High,7,aesthetic
O-High,8,inquisitive
O-High,9,innovative
O-High,10,exploratory
O-High,11,visionary
O-High,12,curious
O-High,13,adventurous
O-High,14,creative
O-High,15,open-minded
O-High,16,intellectual
O-High,17,aesthetic
O-High,18,inquisitive
O-High,19,innovative
O-High,20,exploratory
C-Low,1,impetuous
C-Low,2,fidgety
C-Low,3,chaotic
C-Low,4,hasty
C-Low,5,impulsive
C-Low,6,lackadaisical
C-Low,7,unplanned
C-Low,8,inattentive
C-Low,9,rash
C-Low,10,impatient
C-Low,11,impetuous
C-Low,12,fidgety
C-Low,13,chaotic
C-Low,14,hasty
C-Low,15,impulsive
C-Low,16,lackadaisical
C-Low,17,unplanned
C-Low,18,inattentive
C-Low,19,rash
C-Low,20,impatient
E-Low,1,reserved
E-Low,2,mellow
E-Low,3,skeptical
E-Low,4,reflective
E-Low,5,cautious
E-Low,6,humble
E-Low,7,serene
E-Low,8,wistful
E-Low,9,pensive
E-Low,10,reserved
E-Low,11,reserved
E-Low,12,mellow
E-Low,13,skeptical
E-Low,14,reflective
E-Low,15,cautious
E-Low,16,humble
E-Low,17,serene
E-Low,18,wistful
E-Low,19,pensive
E-Low,20,reserved
E-High,1,energetic
E-High,2,outspoken
E-High,3,social
E-High,4,enthusiastic
E-High,5,assertive
E-High,6,excitable
E-High,7,talkative
E-High,8,adventurous
E-High,9,chatty
E-High,10,lively
E-High,11,energetic
E-High,12,outspoken
E-High,13,social
E-High,14,enthusiastic
E-High,15,assertive
E-High,16,excitable
E-High,17,talkative
E-High,18,adventurous
E-High,19,chatty
E-High,20,lively
E-High-N-High-A-High-C-High-O-Low,1,outgoing
E-High-N-High-A-High-C-High-O-Low,2,energetic
E-High-N-High-A-High-C-High-O-Low,3,assertive
E-High-N-High-A-High-C-High-O-Low,4,socially
E-High-N-High-A-High-C-High-O-Low,5,kindhearted
E-High-N-High-A-High-C-High-O-Low,6,cooperative
E-High-N-High-A-High-C-High-O-Low,7,empathetic
E-High-N-High-A-High-C-High-O-Low,8,reliable
E-High-N-High-A-High-C-High-O-Low,9,disciplined
E-High-N-High-A-High-C-High-O-Low,10,traditional
E-High-N-High-A-High-C-High-O-Low,11,outgoing
E-High-N-High-A-High-C-High-O-Low,12,energetic
E-High-N-High-A-High-C-High-O-Low,13,assertive
E-High-N-High-A-High-C-High-O-Low,14,socially
E-High-N-High-A-High-C-High-O-Low,15,kindhearted
E-High-N-High-A-High-C-High-O-Low,16,cooperative
E-High-N-High-A-High-C-High-O-Low,17,empathetic
E-High-N-High-A-High-C-High-O-Low,18,reliable
E-High-N-High-A-High-C-High-O-Low,19,disciplined
E-High-N-High-A-High-C-High-O-Low,20,traditional
E-Low-N-High-A-High-C-High-O-High,1,reserved
E-Low-N-High-A-High-C-High-O-High,2,mellow
E-Low-N-High-A-High-C-High-O-High,3,reflective
E-Low-N-High-A-High-C-High-O-High,4,calm
E-Low-N-High-A-High-C-High-O-High,5,reserved
E-Low-N-High-A-High-C-High-O-High,6,sensitive
E-Low-N-High-A-High-C-High-O-High,7,considerate
E-Low-N-High-A-High-C-High-O-High,8,reflective
E-Low-N-High-A-High-C-High-O-High,9,resilient
E-Low-N-High-A-High-C-High-O-High,10,thoughtful
E-Low-N-High-A-High-C-High-O-High,11,reserved
E-Low-N-High-A-High-C-High-O-High,12,mellow
E-Low-N-High-A-High-C-High-O-High,13,reflective
