MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score
4,4,5,4,5,4,4,5,4,5,4,3,4,4,3,5,3,5,5,3,5,4,5,5,3,5.0,5,4.333333333333333,3.7777777777777777,4.444444444444445
5,5,5,4,4,4,5,5,5,5,5,4,5,4,3,3,2,5,5,3,5,4,4,5,4,5.0,4,4.666666666666667,3.7777777777777777,4.111111111111111
5,4,5,5,5,4,4,4,5,5,5,4,4,3,4,3,3,5,5,2,5,4,5,5,4,5.0,5,4.555555555555555,3.3333333333333335,4.444444444444445
5,5,5,3,5,5,4,5,4,4,4,4,4,4,4,3,2,5,5,3,4,5,4,5,4,,5,4.555555555555555,3.5555555555555554,
4,5,4,4,4,4,5,5,4,5,2,4,4,4,4,4,4,3,5,4,5,5,4,5,3,4.0,5,4.333333333333333,3.5555555555555554,4.222222222222222
5,4,5,4,5,4,4,5,5,3,3,3,3,3,5,4,3,4,5,3,5,5,5,5,5,4.0,4,4.555555555555555,3.0,4.111111111111111
5,4,4,4,5,4,4,5,4,5,4,4,3,4,4,5,4,3,5,3,4,4,5,5,3,5.0,5,4.333333333333333,3.3333333333333335,4.333333333333333
4,5,5,5,5,3,5,5,4,4,3,4,4,5,4,4,3,4,5,4,4,4,5,4,4,5.0,5,4.555555555555555,3.6666666666666665,4.0
4,5,4,4,5,5,5,5,5,4,4,4,5,4,4,4,3,4,4,3,5,3,4,5,5,5.0,5,4.666666666666667,3.5555555555555554,3.888888888888889
4,4,5,4,4,4,5,4,5,5,4,5,3,3,4,4,4,3,5,3,5,4,5,5,4,1.0,5,4.333333333333333,3.2222222222222223,3.888888888888889
