Label,Num,Adjectives,Synonyms
N-High,1,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,2,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,3,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,4,superior,"['superscript', 'superior']"
N-High,5,vain,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,6,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,7,boastful,"['braggart', 'braggy', 'bragging', 'boastful', 'big']"
N-High,8,self-aggrandizing,"['self-aggrandising', 'self-aggrandizing', 'braggart', 'bragging', 'boastful']"
N-High,9,hubristic,[]
N-High,10,narcissistic,"['narcissistic', 'egotistical', 'egotistic', 'self-loving']"
M-High,1,machiavellian,['machiavellian']
M-High,2,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,3,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,4,ambitious,"['challenging', 'ambitious']"
M-High,5,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,6,exploitative,"['exploitive', 'exploitatory', 'exploitative']"
M-High,7,manipulative,['manipulative']
M-High,8,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High,9,cold-blooded,"['inhuman', 'insensate', 'cold-blooded', 'cold']"
M-High,10,machiavellically-minded,[]
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,empathogenic,[]
P-Low,4,conscientious,"['painstaking', 'conscientious', 'scrupulous']"
P-Low,5,solicitous,['solicitous']
P-Low,6,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,7,considerate,['considerate']
P-Low,8,deliberate,"['deliberate', 'measured', 'calculated', 'careful']"
P-Low,9,nurturing,[]
P-Low,10,prudent,['prudent']
M-Low,1,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,2,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,3,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low,4,reliable,"['reliable', 'dependable', 'honest']"
M-Low,5,straightforward,"['straightforward', 'aboveboard', 'square', 'straight']"
M-Low,6,decent,"['comely', 'decent', 'nice', 'becoming', 'comme_il_faut']"
