MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
5,5,5,5,5,5,5,1,5,5,2,2,2,5,5,3,5,2,1,2,1,2,5,5,5,3,1,4.555555555555555,2.7777777777777777,2.555555555555556,high,low,high
5,5,5,5,5,5,5,2,5,5,4,2,2,5,5,3,4,2,5,5,5,2,5,5,5,5,1,4.666666666666667,2.6666666666666665,3.333333333333333,high,low,high
5,5,5,5,5,5,5,1,5,4,5,2,2,5,5,3,4,2,5,3,5,2,5,5,3,5,5,4.555555555555555,2.4444444444444446,4.222222222222222,high,low,high
5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,3,2,2,2,2,1,2,5,5,3,5,5,4.555555555555555,3.4444444444444446,3.555555555555556,high,high,high
5,5,5,5,5,5,5,1,5,3,2,2,2,5,2,2,4,2,1,2,2,2,2,5,5,5,1,4.555555555555555,2.888888888888889,2.555555555555556,high,low,high
5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,3,5,2,5,5,5,5,4,5,2,2,5,4.555555555555555,3.111111111111111,4.0,high,high,high
5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,3,5,2,2,2,5,5,5,5,3,5,5,4.555555555555555,3.111111111111111,4.333333333333333,high,high,high
5,5,5,5,5,5,5,1,5,3,2,2,2,5,2,5,2,2,1,2,2,2,4,5,3,5,5,4.555555555555555,3.4444444444444446,3.4444444444444446,high,high,high
5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,3,3,2,1,5,5,2,5,5,3,3,5,4.555555555555555,3.333333333333333,3.333333333333333,high,high,high
5,5,5,5,5,5,5,2,5,5,5,2,2,5,3,2,3,2,1,2,5,2,4,5,2,2,5,4.666666666666667,2.7777777777777777,3.555555555555556,high,low,high
