Label,Num,Adjectives,Synonyms
N-High,1,egotistical,"['self-loving', 'conceited', 'narcissistic', 'egotistical', 'egotistic']"
N-High,2,conceited,"['conceited', 'swollen', 'egotistical', 'egotistic', 'self-conceited']"
N-High,3,superior,"['superscript', 'superior']"
N-High,4,pompous,"['pontifical', 'overblown', 'grandiloquent', 'portentous', 'pompous']"
N-High,5,arrogant,"['self-important', 'arrogant', 'chesty']"
N-High,6,self-absorbed,"['self-involved', 'self-absorbed']"
N-High,7,boastful,"['big', 'braggy', 'bragging', 'boastful', 'braggart']"
N-High,8,haughty,"['imperious', 'haughty', 'lordly', 'disdainful', 'overbearing']"
N-High,9,vain,"['conceited', 'swollen', 'egotistical', 'egotistic', 'self-conceited']"
N-High,10,grandiose,"['highfaluting', 'grandiose', 'highfalutin', 'hifalutin']"
M-High,1,machiavellian,['machiavellian']
M-High,2,cunning,"['crafty', 'cute', 'dodgy', 'cunning']"
M-High,3,adept,"['adept', 'expert', 'proficient', 'practiced', 'good']"
M-High,4,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High,5,scheming,"['calculating', 'shrewd', 'scheming', 'calculative', 'conniving']"
M-High,6,ambitious,"['ambitious', 'challenging']"
M-High,7,calculating,"['calculating', 'shrewd', 'scheming', 'calculative', 'conniving']"
M-High,8,deceptive,"['deceptive', 'delusory', 'shoddy', 'misleading']"
M-High,9,manipulative,['manipulative']
M-High,10,malleable,"['ductile', 'malleable', 'pliable']"
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['meditative', 'broody', 'contemplative', 'musing', 'brooding']"
P-Low,3,considerate,['considerate']
P-Low,4,solicitous,['solicitous']
P-Low,5,prudent,['prudent']
P-Low,6,empathic,"['empathic', 'empathetic']"
P-Low,7,caring,['caring']
P-Low,8,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,9,introspective,"['introverted', 'introspective', 'self-examining']"
P-Low,10,altruistic,"['altruistic', 'selfless']"
M-Low,1,unwavering,"['steadfast', 'firm', 'steady', 'unbendable', 'stiff']"
M-Low,2,genuine,"['true', 'genuine', 'unfeigned', 'echt']"
