MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score
4,1,2,2,2,4,2,2,2,4,4,4,5,4,3,2,3,4,1,3,1,2,3,5,5,2,2,2.3333333333333335,3.4444444444444446,2.2222222222222223
5,1,2,5,1,2,2,1,2,3,4,5,5,5,4,3,4,2,1,5,1,2,5,5,2,5,1,2.3333333333333335,3.2222222222222223,2.7777777777777777
5,1,2,2,1,3,2,1,2,3,4,5,2,4,3,3,3,2,1,5,1,3,2,2,3,5,5,2.111111111111111,3.0,2.5555555555555554
5,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,5,2,2,5,2,5,2,2,1,1.8888888888888888,2.6666666666666665,3.3333333333333335
5,1,2,2,1,2,2,1,2,3,5,2,2,2,5,4,3,2,1,5,1,2,2,2,5,1,1,2.0,2.2222222222222223,1.3333333333333333
5,1,2,2,1,4,2,2,2,2,5,2,5,4,5,3,3,2,1,5,1,3,2,1,5,1,1,2.3333333333333335,2.5555555555555554,1.3333333333333333
4,1,2,2,2,2,2,2,2,3,4,4,2,4,2,2,5,2,1,5,1,3,2,1,3,5,2,2.111111111111111,2.6666666666666665,2.111111111111111
5,1,2,2,1,4,3,1,2,3,4,4,2,4,3,3,3,2,1,5,1,3,3,1,5,2,1,2.3333333333333335,2.888888888888889,1.5555555555555556
5,1,2,2,1,2,2,1,2,3,4,2,2,4,4,2,4,2,1,5,1,3,2,1,5,2,1,2.0,2.3333333333333335,1.4444444444444444
5,1,2,2,5,5,2,1,2,2,4,5,2,4,5,4,3,2,1,5,2,2,2,2,5,5,1,2.7777777777777777,2.7777777777777777,1.8888888888888888
