MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score
5,2,5,2,5,5,4,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4.222222222222222,3.0,4.111111111111111
5,2,2,2,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4.0,3.0,4.111111111111111
5,1,5,2,5,5,5,5,2,5,5,5,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,3.888888888888889,3.3333333333333335,4.111111111111111
5,1,5,5,5,2,4,5,2,5,5,5,2,5,5,5,5,2,5,2,5,5,5,5,5,5,5,3.7777777777777777,3.0,4.444444444444445
2,2,5,2,5,5,2,5,2,5,5,5,2,2,5,5,2,2,5,5,5,5,5,5,2,5,5,3.3333333333333335,3.0,4.444444444444445
5,2,5,2,5,2,2,5,2,2,5,5,2,2,2,5,2,2,5,2,5,5,5,5,2,5,2,3.3333333333333335,3.0,4.444444444444445
5,1,5,2,5,2,2,5,5,5,2,2,2,5,2,5,3,2,5,2,5,5,5,5,5,5,5,3.5555555555555554,3.5555555555555554,4.444444444444445
5,1,2,5,5,2,5,5,2,2,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3.5555555555555554,3.3333333333333335,4.111111111111111
5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,2,5,5,5,5,2,5,2,2.2222222222222223,2.4444444444444446,4.444444444444445
5,1,5,2,5,5,2,5,2,2,4,2,2,2,2,5,5,2,5,5,5,5,5,5,5,5,5,3.5555555555555554,2.4444444444444446,4.111111111111111
