Label,Num,Adjectives,Synonyms
N-High,1,egotistical,"['self-loving', 'conceited', 'narcissistic', 'egotistical', 'egotistic']"
N-High,2,conceited,"['conceited', 'swollen', 'egotistical', 'egotistic', 'self-conceited']"
N-High,3,superior,"['superscript', 'superior']"
N-High,4,arrogant,"['self-important', 'arrogant', 'chesty']"
N-High,5,pompous,"['pontifical', 'overblown', 'grandiloquent', 'portentous', 'pompous']"
N-High,6,self-aggrandizing,"['self-aggrandizing', 'bragging', 'self-aggrandising', 'boastful', 'braggart']"
N-High,7,hubristic,[]
N-High,8,narcissistic,"['egotistical', 'egotistic', 'self-loving', 'narcissistic']"
N-High,9,grandiose,"['highfaluting', 'grandiose', 'highfalutin', 'hifalutin']"
N-High,10,vainglorious,"['vainglorious', 'big', 'swelled']"
M-High,1,machiavellian,['machiavellian']
M-High,2,cunning,"['crafty', 'cute', 'dodgy', 'cunning']"
M-High,3,calculating,"['calculating', 'shrewd', 'scheming', 'calculative', 'conniving']"
M-High,4,scheming,"['calculating', 'shrewd', 'scheming', 'calculative', 'conniving']"
M-High,5,ambitious,"['ambitious', 'challenging']"
M-High,6,deceptive,"['deceptive', 'delusory', 'shoddy', 'misleading']"
M-High,7,exploitative,"['exploitatory', 'exploitative', 'exploitive']"
M-High,8,tactical,['tactical']
M-High,9,malleable,"['ductile', 'malleable', 'pliable']"
M-High,10,mercenary,"['worldly-minded', 'free-lance', 'mercenary', 'materialistic']"
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['meditative', 'broody', 'contemplative', 'musing', 'brooding']"
P-Low,3,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,4,considerate,['considerate']
P-Low,5,solicitous,['solicitous']
P-Low,6,prudent,['prudent']
P-Low,7,altruistic,"['altruistic', 'selfless']"
P-Low,8,sympathetic,"['kindly', 'charitable', 'benevolent', 'sympathetic']"
P-Low,9,discerning,"['discerning', 'apprehensive', 'discreet']"
P-Low,10,nurturing,[]
M-Low,1,upright,"['unsloped', 'good', 'upright', 'just']"
M-Low,2,unwavering,"['steadfast', 'firm', 'steady', 'unbendable', 'stiff']"
