Label,Num,Adjectives
N-High,1,egotistical
N-High,2,arrogant
N-High,3,conceited
N-High,4,superior
N-High,5,pompous
N-High,6,haughty
N-High,7,self-absorbed
N-High,8,vain
N-High,9,grandiose
N-High,10,narcissistic
M-High,1,machiavellian
M-High,2,cunning
M-High,3,scheming
M-High,4,mercenary
M-High,5,amoral
M-High,6,exploitative
M-High,7,cold-blooded
M-High,8,manipulative
M-High,9,calculating
M-High,10,unscrupulous
P-Low,1,compassionate
P-Low,2,reflective
P-Low,3,sensitive
P-Low,4,thoughtful
P-Low,5,nurturing
P-Low,6,considerate
P-Low,7,caring
P-Low,8,respectful
P-Low,9,empathetic
P-Low,10,prudent
M-Low,1,upright
M-Low,2,straightforward
M-Low,3,unwavering
M-Low,4,transparent
M-Low,5,authentic
M-Low,6,reliable
M-Low,7,principled
M-Low,8,sincere
M-Low,9,uncompromising
M-Low,10,integrity-driven
P-High,1,reckless
P-High,2,daredevil
P-High,3,unpredictable
P-High,4,selfish
P-High,5,amoral
P-High,6,restless
P-High,7,apathetic
P-High,8,unconventional
P-High,9,adrenaline-junkie
P-High,10,unsentimental
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,self-effacing
N-Low,4,unpretentious
N-Low,5,low-key
N-Low,6,unostentatious
N-Low,7,demure
N-Low,8,unassuming
N-Low,9,unobtrusive
N-Low,10,unassuming
M-Low-N-High-P-High,1,unapologetic
M-Low-N-High-P-High,2,straightforward
M-Low-N-High-P-High,3,moralistic
M-Low-N-High-P-High,4,confident
M-Low-N-High-P-High,5,dominating
M-Low-N-High-P-High,6,impulsive
M-Low-N-High-P-High,7,thrill-seeking
M-Low-N-High-P-High,8,emotionally
M-Low-N-High-P-High,9,unconventional
M-Low-N-High-P-High,10,unyielding
M-High-N-High-P-Low,1,strategic
M-High-N-High-P-Low,2,pragmatic
M-High-N-High-P-Low,3,cunning
M-High-N-High-P-Low,4,ambitious
M-High-N-High-P-Low,5,calculating
M-High-N-High-P-Low,6,dominant
M-High-N-High-P-Low,7,astute
M-High-N-High-P-Low,8,self-assured
M-High-N-High-P-Low,9,perceptive
M-High-N-High-P-Low,10,discerning
M-Low-N-High-P-Low,1,authentic
M-Low-N-High-P-Low,2,empathetic
M-Low-N-High-P-Low,3,sincere
M-Low-N-High-P-Low,4,compassionate
M-Low-N-High-P-Low,5,self-assured
M-Low-N-High-P-Low,6,reflective
M-Low-N-High-P-Low,7,altruistic
M-Low-N-High-P-Low,8,conscientious
M-Low-N-High-P-Low,9,emotionally
M-Low-N-High-P-Low,10,idealistic
M-High-N-High-P-High,1,calculating
M-High-N-High-P-High,2,amoral
M-High-N-High-P-High,3,charismatic
M-High-N-High-P-High,4,detached
M-High-N-High-P-High,5,dominating
M-High-N-High-P-High,6,impulsive
M-High-N-High-P-High,7,manipulative
M-High-N-High-P-High,8,self-absorbed
M-High-N-High-P-High,9,strategic
M-High-N-High-P-High,10,unscrupulous
M-High-N-Low-P-Low,1,strategic
M-High-N-Low-P-Low,2,pragmatic
M-High-N-Low-P-Low,3,tactical
M-High-N-Low-P-Low,4,diplomatic
M-High-N-Low-P-Low,5,subtle
M-High-N-Low-P-Low,6,cautious
M-High-N-Low-P-Low,7,empathetic
M-High-N-Low-P-Low,8,responsible
M-High-N-Low-P-Low,9,discreet
M-High-N-Low-P-Low,10,collaborative
M-Low-N-Low-P-High,1,blunt
M-Low-N-Low-P-High,2,authentic
M-Low-N-Low-P-High,3,uncompromising
M-Low-N-Low-P-High,4,impulsive
M-Low-N-Low-P-High,5,thrill-seeking
M-Low-N-Low-P-High,6,emotionally
M-Low-N-Low-P-High,7,laid-back
M-Low-N-Low-P-High,8,rebellious
M-Low-N-Low-P-High,9,spontaneous
M-Low-N-Low-P-High,10,unpredictable
M-Low-N-Low-P-Low,1,unassuming
M-Low-N-Low-P-Low,2,empathetic
M-Low-N-Low-P-Low,3,humble
M-Low-N-Low-P-Low,4,transparent
M-Low-N-Low-P-Low,5,compassionate
M-Low-N-Low-P-Low,6,cautious
M-Low-N-Low-P-Low,7,genuine
M-Low-N-Low-P-Low,8,selfless
M-Low-N-Low-P-Low,9,reflective
M-Low-N-Low-P-Low,10,altruistic
M-High-N-Low-P-High,1,cunning
M-High-N-Low-P-High,2,pragmatic
M-High-N-Low-P-High,3,calculating
M-High-N-Low-P-High,4,detached
M-High-N-Low-P-High,5,resourceful
M-High-N-Low-P-High,6,impulsive
M-High-N-Low-P-High,7,thrill-seeking
M-High-N-Low-P-High,8,enigmatic
M-High-N-Low-P-High,9,adaptable
M-High-N-Low-P-High,10,unpredictable
