Label,Num,Adjectives,Synonyms
O-High,1,visionary,"['laputan', 'impractical', 'windy', 'visionary', 'airy']"
O-High,2,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
O-High,3,artistic,"['esthetic', 'artistic', 'aesthetic']"
O-High,4,enthusiastic,['enthusiastic']
O-High,5,intellectual,"['noetic', 'rational', 'intellectual', 'cerebral']"
O-High,6,adventurous,"['adventurous', 'adventuresome']"
O-High,7,eccentric,"['flaky', 'freaky', 'freakish', 'eccentric', 'bizarre']"
O-High,8,innovative,"['forward-looking', 'modern', 'advanced', 'innovative']"
O-High,9,dreamer,[]
O-High,10,renaissance,[]
O-Low,1,conventional,"['established', 'conventional']"
O-Low,2,traditionalist,"['hidebound', 'traditionalist']"
O-Low,3,conservative,"['button-down', 'conservative', 'cautious']"
O-Low,4,sentimental,"['maudlin', 'bathetic', 'sentimental', 'drippy', 'hokey']"
O-Low,5,respectful,"['respectful', 'reverential', 'venerating']"
O-Low,6,predictable,['predictable']
O-Low,7,staid,"['staid', 'sedate']"
O-Low,8,orthodox,"['orthodox', 'eastern_orthodox', 'jewish-orthodox']"
O-Low,9,moralistic,['moralistic']
O-Low,10,unadventurous,['unadventurous']
C-High,1,diligent,"['persevering', 'diligent']"
C-High,2,meticulous,"['meticulous', 'punctilious']"
C-High,3,methodical,['methodical']
C-High,4,punctual,['punctual']
C-High,5,disciplined,['disciplined']
C-High,6,tenacious,"['recollective', 'retentive', 'dogged', 'long', 'tenacious']"
C-High,7,results-driven,[]
C-High,8,organized,"['unionized', 'organised', 'organized']"
C-High,9,practical,"['practical', 'hardheaded', 'pragmatic', 'hard-nosed']"
C-High,10,proactive,['proactive']
N-Low,1,phlegmatic,"['phlegmatical', 'phlegmatic']"
N-Low,2,composed,['composed']
N-Low,3,serene,"['calm', 'serene', 'tranquil', 'unagitated']"
N-Low,4,steadfast,"['steady', 'steadfast', 'firm', 'unbendable', 'stiff']"
N-Low,5,sanguine,"['rubicund', 'florid', 'ruddy', 'sanguine']"
N-Low,6,equanimous,"['poised', 'equanimous', 'collected', 'self-collected', 'self-contained']"
N-Low,7,philosophical,"['philosophic', 'philosophical']"
N-Low,8,calmative,[]
N-Low,9,unfazed,[]
N-Low,10,buoyant,"['perky', 'buoyant', 'chirpy', 'floaty']"
E-High,1,exuberant,"['excessive', 'ebullient', 'extravagant', 'high-spirited', 'exuberant']"
E-High,2,vivacious,"['vivacious', 'vibrant']"
E-High,3,dynamic,"['dynamic', 'dynamical', 'active']"
E-High,4,charismatic,"['magnetic', 'charismatic']"
E-High,5,boisterous,"['boisterous', 'robustious', 'unruly', 'rambunctious', 'rumbustious']"
E-High,6,affable,"['cordial', 'amiable', 'genial', 'affable']"
E-High,7,eccentric,"['flaky', 'freaky', 'freakish', 'eccentric', 'bizarre']"
E-High,8,flamboyant,"['splashy', 'florid', 'showy', 'aureate', 'flamboyant']"
E-High,9,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E-High,10,impulsive,"['unprompted', 'driving', 'impulsive']"
A-High,1,affable,"['cordial', 'amiable', 'genial', 'affable']"
A-High,2,compassionate,['compassionate']
A-High,3,empathetic,"['empathic', 'empathetic']"
A-High,4,gentle,"['soft', 'aristocratic', 'gentle']"
A-High,5,nurturing,[]
A-High,6,sympathetic,"['kindly', 'sympathetic', 'benevolent', 'charitable']"
A-High,7,tolerant,"['kind', 'broad', 'large-minded', 'tolerant']"
A-High,8,understanding,['understanding']
A-High,9,warm-hearted,[]
A-High,10,caring,['caring']
C-Low,1,spontaneous,"['spontaneous', 'ad-lib', 'self-generated', 'unwritten']"
