Label,Num,Adjectives,Synonyms
T,1,analytical,"['analytic', 'analytical']"
T,2,objective,"['objective', 'nonsubjective', 'accusative']"
T,3,systematic,"['systematic', 'taxonomic', 'taxonomical']"
T,4,logical,"['coherent', 'logical', 'legitimate', 'consistent']"
T,5,efficient,"['effective', 'efficient']"
T,6,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
T,7,independent,"['autonomous', 'self-governing', 'independent', 'sovereign']"
T,8,decisive,"['decisive', 'critical']"
T,9,focused,"['focussed', 'focused']"
T,10,critical,"['critical', 'vital']"
T,11,analytical,"['analytic', 'analytical']"
T,12,objective,"['objective', 'nonsubjective', 'accusative']"
T,13,systematic,"['systematic', 'taxonomic', 'taxonomical']"
T,14,logical,"['coherent', 'logical', 'legitimate', 'consistent']"
T,15,efficient,"['effective', 'efficient']"
T,16,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
T,17,independent,"['autonomous', 'self-governing', 'independent', 'sovereign']"
T,18,decisive,"['decisive', 'critical']"
T,19,focused,"['focussed', 'focused']"
T,20,critical,"['critical', 'vital']"
F,1,sensitive,"['sensible', 'sensitive']"
F,2,emotionally,[]
F,3,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,4,compassionate,['compassionate']
F,5,empathetic,"['empathetic', 'empathic']"
F,6,harmonious,"['symmetrical', 'harmonious', 'proportionate']"
F,7,cooperative,"['cooperative', 'concerted', 'conjunct', 'conjunctive']"
F,8,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,9,kindred,"['akin', 'kindred']"
F,10,altruistic,"['altruistic', 'selfless']"
F,11,sensitive,"['sensible', 'sensitive']"
F,12,emotionally,[]
F,13,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,14,compassionate,['compassionate']
F,15,empathetic,"['empathetic', 'empathic']"
F,16,harmonious,"['symmetrical', 'harmonious', 'proportionate']"
F,17,cooperative,"['cooperative', 'concerted', 'conjunct', 'conjunctive']"
F,18,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,19,kindred,"['akin', 'kindred']"
F,20,altruistic,"['altruistic', 'selfless']"
N,1,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
N,2,insightful,['insightful']
N,3,curious,"['curious', 'peculiar', 'queer', 'odd', 'funny']"
N,4,perceptive,['perceptive']
N,5,intuitive,"['nonrational', 'visceral', 'intuitive']"
N,6,futuristic,"['futurist', 'futuristic']"
N,7,imaginative,"['inventive', 'imaginative']"
N,8,enthusiastic,['enthusiastic']
N,9,open-minded,['open-minded']
N,10,speculative,"['bad', 'risky', 'speculative', 'notional', 'high-risk']"
N,11,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
N,12,insightful,['insightful']
N,13,curious,"['curious', 'peculiar', 'queer', 'odd', 'funny']"
N,14,perceptive,['perceptive']
N,15,intuitive,"['nonrational', 'visceral', 'intuitive']"
N,16,futuristic,"['futurist', 'futuristic']"
N,17,imaginative,"['inventive', 'imaginative']"
N,18,enthusiastic,['enthusiastic']
N,19,open-minded,['open-minded']
N,20,speculative,"['bad', 'risky', 'speculative', 'notional', 'high-risk']"
J,1,analytical,"['analytic', 'analytical']"
J,2,structured,"['structured', 'integrated']"
J,3,systematic,"['systematic', 'taxonomic', 'taxonomical']"
J,4,methodical,['methodical']
J,5,predictive,"['prognosticative', 'prognostic', 'predictive']"
J,6,precise,"['precise', 'exact', 'accurate']"
J,7,efficient,"['effective', 'efficient']"
J,8,organized,"['organised', 'organized', 'unionized']"
J,9,consistent,"['reproducible', 'coherent', 'consistent']"
J,10,determinate,"['definitive', 'determinate']"
J,11,analytical,"['analytic', 'analytical']"
J,12,structured,"['structured', 'integrated']"
J,13,systematic,"['systematic', 'taxonomic', 'taxonomical']"
J,14,methodical,['methodical']
J,15,predictive,"['prognosticative', 'prognostic', 'predictive']"
J,16,precise,"['precise', 'exact', 'accurate']"
J,17,efficient,"['effective', 'efficient']"
J,18,organized,"['organised', 'organized', 'unionized']"
J,19,consistent,"['reproducible', 'coherent', 'consistent']"
J,20,determinate,"['definitive', 'determinate']"
P,1,opportunistic,"['opportunistic', 'opportunist', 'timeserving']"
P,2,adaptable,['adaptable']
P,3,flexible,"['flexible', 'elastic', 'flexile']"
P,4,open-minded,['open-minded']
P,5,resourceful,['resourceful']
P,6,risk-taker,[]
P,7,curious,"['curious', 'peculiar', 'queer', 'odd', 'funny']"
P,8,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
