Label,Num,Adjectives
O-High,1,visionary
O-High,2,inquisitive
O-High,3,artistic
O-High,4,enthusiastic
O-High,5,intellectual
O-High,6,adventurous
O-High,7,dreamy
O-High,8,innovative
O-High,9,philosophical
O-High,10,eclectic
O-Low,1,conventional
O-Low,2,conservative
O-Low,3,traditionalist
O-Low,4,staid
O-Low,5,respectful
O-Low,6,pragmatic
O-Low,7,cautious
O-Low,8,established
O-Low,9,sentimental
O-Low,10,predictable
C-High,1,methodical
C-High,2,diligent
C-High,3,punctual
C-High,4,meticulous
C-High,5,self-disciplined
C-High,6,persevering
C-High,7,systematic
C-High,8,thorough
C-High,9,resilient
C-High,10,proactive
N-Low,1,composed
N-Low,2,philosophical
N-Low,3,calmative
N-Low,4,steadfast
N-Low,5,serenic
N-Low,6,mellow
N-Low,7,reflective
N-Low,8,gentle
N-Low,9,resolute
N-Low,10,effable
E-High,1,exuberant
E-High,2,vivacious
E-High,3,sociable
E-High,4,talkative
E-High,5,energetic
E-High,6,assertive
E-High,7,daring
E-High,8,charismatic
E-High,9,witty
E-High,10,adventurous
A-High,1,compassionate
A-High,2,sympathetic
A-High,3,empathetic
A-High,4,nurturing
A-High,5,affable
A-High,6,tolerant
A-High,7,generous
A-High,8,supportive
A-High,9,caring
A-High,10,benevolent
C-Low,1,spontaneous
C-Low,2,impetuous
C-Low,3,distractible
C-Low,4,disorganized
C-Low,5,emotionally
C-Low,6,reckless
C-Low,7,indecisive
C-Low,8,flighty
C-Low,9,unpredictable
C-Low,10,haphazard
E-Low,1,retreating
E-Low,2,muted
E-Low,3,cautious
E-Low,4,introverted
E-Low,5,unassuming
E-Low,6,reserved
E-Low,7,guarded
E-Low,8,low-key
E-Low,9,reflective
E-Low,10,shy
N-High,1,emotionally
N-High,2,high-strung
N-High,3,melancholic
N-High,4,irritable
N-High,5,hyper-sensitive
N-High,6,defensive
N-High,7,self-destructive
N-High,8,easily
N-High,9,mood-prone
N-High,10,vulnerable
A-Low,1,confrontational
A-Low,2,argumentative
A-Low,3,critical
A-Low,4,assertive
A-Low,5,perfectionistic
A-Low,6,disputatious
A-Low,7,inquisitive
A-Low,8,blunt
A-Low,9,dogmatic
A-Low,10,pugnacious
E-High-N-Low-A-High-C-Low-O-Low,1,vivacious
E-High-N-Low-A-High-C-Low-O-Low,2,charismatic
E-High-N-Low-A-High-C-Low-O-Low,3,effervescent
E-High-N-Low-A-High-C-Low-O-Low,4,sociable
E-High-N-Low-A-High-C-Low-O-Low,5,resilient
E-High-N-Low-A-High-C-Low-O-Low,6,warm-hearted
E-High-N-Low-A-High-C-Low-O-Low,7,spontaneous
E-High-N-Low-A-High-C-Low-O-Low,8,traditional
E-High-N-Low-A-High-C-Low-O-Low,9,enthusiastic
E-High-N-Low-A-High-C-Low-O-Low,10,affable
E-High-N-High-A-High-C-Low-O-High,1,vibrant
E-High-N-High-A-High-C-Low-O-High,2,impulsive
E-High-N-High-A-High-C-Low-O-High,3,passionate
E-High-N-High-A-High-C-Low-O-High,4,spontaneous
E-High-N-High-A-High-C-Low-O-High,5,empathetic
E-High-N-High-A-High-C-Low-O-High,6,dramatic
E-High-N-High-A-High-C-Low-O-High,7,creative
E-High-N-High-A-High-C-Low-O-High,8,adventurous
E-High-N-High-A-High-C-Low-O-High,9,emotionally
E-High-N-High-A-High-C-Low-O-High,10,charismatic
