MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
4,4,4,4,4,4,4,4,2,4,3,5,5,4,5,4,4,4,1,3,3,4,4,4,5,1.0,5,3.7777777777777777,3.555555555555556,2.888888888888889,high,high,high
4,2,2,4,2,4,4,4,4,4,4,5,5,4,4,4,4,5,1,3,3,4,4,5,5,1.0,5,3.333333333333333,3.6666666666666665,3.0,high,high,high
3,4,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,5,4,4,3,4,5,3,4.0,3,4.111111111111111,3.555555555555556,3.6666666666666665,high,high,high
4,5,4,3,3,3,4,4,4,4,4,4,5,4,4,3,4,4,1,4,4,4,4,5,1,,1,3.7777777777777777,3.333333333333333,,high,high,low
4,5,4,4,2,3,4,5,2,5,4,4,5,4,4,3,4,4,5,4,1,4,3,4,5,,4,3.6666666666666665,3.4444444444444446,,high,high,low
4,4,5,4,4,4,4,5,4,4,4,4,5,5,3,3,4,5,5,4,4,4,4,4,3,1.0,5,4.222222222222222,3.6666666666666665,3.555555555555556,high,high,high
5,5,4,4,4,4,4,5,3,3,4,5,4,5,4,4,3,4,1,4,4,4,5,5,1,1.0,1,4.222222222222222,3.555555555555556,3.111111111111111,high,high,high
4,4,4,4,4,4,3,4,3,3,4,4,5,4,4,3,4,4,1,4,3,4,2,5,5,1.0,4,3.7777777777777777,3.2222222222222223,2.555555555555556,high,high,high
4,4,4,2,4,3,4,5,2,5,4,5,5,4,4,4,3,4,1,4,2,4,3,5,4,1.0,5,3.555555555555556,3.7777777777777777,2.7777777777777777,high,high,high
5,4,4,2,4,4,4,4,3,4,3,5,5,4,4,3,3,4,5,4,4,4,4,5,3,1.0,5,3.7777777777777777,3.6666666666666665,3.6666666666666665,high,high,high
