Label,Num,Adjectives,Synonyms
M-High,1,ambidextrous,"['ambidextrous', 'two-handed', 'deceitful', 'double-dealing']"
M-High,2,calculationist,[]
M-High,3,conceited,"['conceited', 'egotistical', 'self-conceited', 'swollen', 'egotistic']"
M-High,4,dexterous,"['dexterous', 'deft', 'dextrous']"
M-High,5,exploitative,"['exploitative', 'exploitive', 'exploitatory']"
M-High,6,manipulative,['manipulative']
M-High,7,predisposed,['predisposed']
M-High,8,sly,"['foxy', 'crafty', 'guileful', 'dodgy', 'cunning']"
M-High,9,tactical,['tactical']
M-High,10,utilitarian,"['useful', 'utilitarian']"
M-High,11,ambidextrous,"['ambidextrous', 'two-handed', 'deceitful', 'double-dealing']"
M-High,12,calculationist,[]
M-High,13,conceited,"['conceited', 'egotistical', 'self-conceited', 'swollen', 'egotistic']"
M-High,14,dexterous,"['dexterous', 'deft', 'dextrous']"
M-High,15,exploitative,"['exploitative', 'exploitive', 'exploitatory']"
M-High,16,manipulative,['manipulative']
M-High,17,predisposed,['predisposed']
M-High,18,sly,"['foxy', 'crafty', 'guileful', 'dodgy', 'cunning']"
M-High,19,tactical,['tactical']
M-High,20,utilitarian,"['useful', 'utilitarian']"
P-High,1,adrenaline,[]
P-High,2,thrill,[]
P-High,3,sensation,[]
P-High,4,risk,[]
P-High,5,cynical,"['cynical', 'misanthropic', 'misanthropical']"
P-High,6,indifferent,"['apathetic', 'deaf', 'indifferent']"
P-High,7,casual,"['insouciant', 'casual', 'nonchalant']"
P-High,8,impatient,"['raring', 'impatient']"
P-High,9,unconventional,"['improper', 'unlawful', 'unconventional']"
P-High,10,disregardful,[]
P-High,11,adrenaline,[]
P-High,12,thrill,[]
P-High,13,sensation,[]
P-High,14,risk,[]
P-High,15,cynical,"['cynical', 'misanthropic', 'misanthropical']"
P-High,16,indifferent,"['apathetic', 'deaf', 'indifferent']"
P-High,17,casual,"['insouciant', 'casual', 'nonchalant']"
P-High,18,impatient,"['raring', 'impatient']"
P-High,19,unconventional,"['improper', 'unlawful', 'unconventional']"
P-High,20,disregardful,[]
N-Low,1,selfless,"['selfless', 'altruistic']"
N-Low,2,unassuming,"['unassuming', 'retiring']"
N-Low,3,discreet,"['discreet', 'discerning', 'circumspect']"
N-Low,4,reserved,['reserved']
N-Low,5,generous,['generous']
N-Low,6,modest,"['small', 'modest']"
N-Low,7,empathetic,"['empathetic', 'empathic']"
N-Low,8,sincere,"['solemn', 'sincere', 'earnest']"
N-Low,9,patient,['patient']
N-Low,10,compassionate,['compassionate']
N-Low,11,selfless,"['selfless', 'altruistic']"
N-Low,12,unassuming,"['unassuming', 'retiring']"
N-Low,13,discreet,"['discreet', 'discerning', 'circumspect']"
N-Low,14,reserved,['reserved']
N-Low,15,generous,['generous']
N-Low,16,modest,"['small', 'modest']"
N-Low,17,empathetic,"['empathetic', 'empathic']"
N-Low,18,sincere,"['solemn', 'sincere', 'earnest']"
N-Low,19,patient,['patient']
N-Low,20,compassionate,['compassionate']
M-Low,1,integrity-driven,[]
M-Low,2,authenticity-seeking,[]
M-Low,3,honesty-honored,[]
M-Low,4,transparency-enthusiastic,[]
M-Low,5,trustworthy-tempered,[]
M-Low,6,respectful-rule-following,[]
M-Low,7,ethical-leader,[]
M-Low,8,sincerity-sensitive,[]
M-Low,9,straightforward-spirited,[]
M-Low,10,moral-minded,[]
M-Low,11,integrity-driven,[]
M-Low,12,authenticity-seeking,[]
M-Low,13,honesty-honored,[]
M-Low,14,transparency-enthusiastic,[]
M-Low,15,trustworthy-tempered,[]
M-Low,16,respectful-rule-following,[]
M-Low,17,ethical-leader,[]
M-Low,18,sincerity-sensitive,[]
M-Low,19,straightforward-spirited,[]
M-Low,20,moral-minded,[]
N-High,1,arrogant,"['self-important', 'arrogant', 'chesty']"
N-High,2,self-aggrandizing,"['boastful', 'self-aggrandizing', 'bragging', 'self-aggrandising', 'braggart']"
N-High,3,hubristic,[]
N-High,4,overbearing,"['dictatorial', 'authoritarian', 'disdainful', 'haughty', 'overbearing']"
N-High,5,pompous,"['overblown', 'grandiloquent', 'pompous', 'pontifical', 'portentous']"
N-High,6,superficially,[]
N-High,7,self-righteous,"['holier-than-thou', 'pietistical', 'pietistic', 'pharisaical', 'pharisaic']"
N-High,8,preposterously,[]
N-High,9,inflated,"['hyperbolic', 'inflated', 'high-flown', 'high-sounding']"
N-High,10,hypocritically,[]
N-High,11,arrogant,"['self-important', 'arrogant', 'chesty']"
N-High,12,self-aggrandizing,"['boastful', 'self-aggrandizing', 'bragging', 'self-aggrandising', 'braggart']"
N-High,13,hubristic,[]
N-High,14,overbearing,"['dictatorial', 'authoritarian', 'disdainful', 'haughty', 'overbearing']"
N-High,15,pompous,"['overblown', 'grandiloquent', 'pompous', 'pontifical', 'portentous']"
N-High,16,superficially,[]
N-High,17,self-righteous,"['holier-than-thou', 'pietistical', 'pietistic', 'pharisaical', 'pharisaic']"
N-High,18,preposterously,[]
N-High,19,inflated,"['hyperbolic', 'inflated', 'high-flown', 'high-sounding']"
N-High,20,hypocritically,[]
P-Low,1,compassionate,['compassionate']
P-Low,2,sympathetic,"['sympathetic', 'benevolent', 'charitable', 'kindly']"
P-Low,3,caring,['caring']
P-Low,4,considerate,['considerate']
P-Low,5,thoughtful,"['serious-minded', 'heedful', 'thoughtful']"
P-Low,6,reflective,"['meditative', 'brooding', 'contemplative', 'musing', 'broody']"
P-Low,7,altruistic,"['selfless', 'altruistic']"
P-Low,8,sensitive,"['sensible', 'sensitive']"
P-Low,9,responsible,"['responsible_for', 'creditworthy', 'responsible']"
P-Low,10,ethical,"['honourable', 'ethical', 'honorable']"
P-Low,11,compassionate,['compassionate']
P-Low,12,sympathetic,"['sympathetic', 'benevolent', 'charitable', 'kindly']"
P-Low,13,caring,['caring']
P-Low,14,considerate,['considerate']
P-Low,15,thoughtful,"['serious-minded', 'heedful', 'thoughtful']"
P-Low,16,reflective,"['meditative', 'brooding', 'contemplative', 'musing', 'broody']"
P-Low,17,altruistic,"['selfless', 'altruistic']"
P-Low,18,sensitive,"['sensible', 'sensitive']"
P-Low,19,responsible,"['responsible_for', 'creditworthy', 'responsible']"
P-Low,20,ethical,"['honourable', 'ethical', 'honorable']"
M-High-N-Low-P-Low,1,strategic,"['strategic', 'strategical']"
M-High-N-Low-P-Low,2,pragmatic,"['pragmatic', 'pragmatical', 'matter-of-fact']"
M-High-N-Low-P-Low,3,cautious,"['conservative', 'cautious']"
M-High-N-Low-P-Low,4,empathetic,"['empathetic', 'empathic']"
M-High-N-Low-P-Low,5,responsible,"['responsible_for', 'creditworthy', 'responsible']"
M-High-N-Low-P-Low,6,humble,"['lowly', 'humble', 'modest', 'low', 'small']"
M-High-N-Low-P-Low,7,mindful,"['aware', 'mindful']"
M-High-N-Low-P-Low,8,candid,"['blunt', 'candid', 'free-spoken', 'forthright', 'frank']"
M-High-N-Low-P-Low,9,reflective,"['meditative', 'brooding', 'contemplative', 'musing', 'broody']"
M-High-N-Low-P-Low,10,compassionate,['compassionate']
M-High-N-Low-P-Low,11,strategic,"['strategic', 'strategical']"
M-High-N-Low-P-Low,12,pragmatic,"['pragmatic', 'pragmatical', 'matter-of-fact']"
M-High-N-Low-P-Low,13,cautious,"['conservative', 'cautious']"
M-High-N-Low-P-Low,14,empathetic,"['empathetic', 'empathic']"
M-High-N-Low-P-Low,15,responsible,"['responsible_for', 'creditworthy', 'responsible']"
M-High-N-Low-P-Low,16,humble,"['lowly', 'humble', 'modest', 'low', 'small']"
M-High-N-Low-P-Low,17,mindful,"['aware', 'mindful']"
